시도명,시군구명,관할구청,신호등 위치
경상남도,창원시,의창구,소계광장
경상남도,창원시,의창구,팔용사거리
경상남도,창원시,의창구,반계사거리
경상남도,창원시,의창구,평산사거리
경상남도,창원시,의창구,죽전사거리
경상남도,창원시,의창구,죽전삼거리
경상남도,창원시,의창구,차룡사거리
경상남도,창원시,의창구,사화사거리(유남주유소)
경상남도,창원시,의창구,터미널사거리(표준공장)
경상남도,창원시,의창구,로템앞삼거리
경상남도,창원시,의창구,봉곡동유목교
경상남도,창원시,의창구,봉곡삼거리
경상남도,창원시,의창구,봉곡동지귀상가
경상남도,창원시,의창구,봉곡중학교입구삼거리
경상남도,창원시,의창구,까치아파트삼거리
경상남도,창원시,의창구,봉림동대동그린코아
경상남도,창원시,의창구,창원봉림중학교삼거리
경상남도,창원시,의창구,창이대로봉림로입구
경상남도,창원시,의창구,창원의집입구삼거리
경상남도,창원시,의창구,퇴촌사거리
경상남도,창원시,의창구,창원대입구
경상남도,창원시,의창구,공관입구삼거리
경상남도,창원시,의창구,신월초교사거리
경상남도,창원시,의창구,성산아트홀앞삼거리
경상남도,창원시,의창구,용지공원앞삼거리
경상남도,창원시,의창구,창원세무서
경상남도,창원시,의창구,용호동여성회관
경상남도,창원시,의창구,신월동한국전력앞삼거리
경상남도,창원시,의창구,창원중부서앞삼거리
경상남도,창원시,의창구,창원소방서
경상남도,창원시,의창구,북창원IC옆사거리
경상남도,창원시,의창구,감계현대1차정문
경상남도,창원시,의창구,감계현대1차사거리
경상남도,창원시,의창구,감계일신휴먼빌정문
경상남도,창원시,의창구,대산산업단지효성산업
경상남도,창원시,의창구,외감리새터사거리
경상남도,창원시,의창구,감계중방천교
경상남도,창원시,의창구,감계중방마을
경상남도,창원시,의창구,감계140번길입구
경상남도,창원시,의창구,감계리 (주)조동앞
경상남도,창원시,의창구,감계리 (주)코액트앞
경상남도,창원시,의창구,감계중학교
경상남도,창원시,의창구,감계현대4차아파트
경상남도,창원시,의창구,감계현대3차아파트
경상남도,창원시,의창구,감계덕산아내정문
경상남도,창원시,의창구,덕산아내2차
경상남도,창원시,의창구,감계감계교
경상남도,창원시,의창구,삼동교차로
경상남도,창원시,의창구,충혼탑사거리
경상남도,창원시,의창구,문성대앞(창원전문대앞)
경상남도,창원시,의창구,동읍한국도로공사입구
경상남도,창원시,의창구,동읍용암삼거리
경상남도,창원시,의창구,북창원IC삼거리
경상남도,창원시,의창구,북면천일특수목재
경상남도,창원시,의창구,북면초등학교삼거리
경상남도,창원시,의창구,용원교차로
경상남도,창원시,의창구,소목부락
경상남도,창원시,의창구,본포입구
경상남도,창원시,의창구,동읍지구대앞
경상남도,창원시,의창구,자여마을입구
경상남도,창원시,의창구,서상동현대약국
경상남도,창원시,의창구,창원역
경상남도,창원시,의창구,동정3거리
경상남도,창원시,의창구,윤병원
경상남도,창원시,의창구,용지아이파크정문
경상남도,창원시,의창구,신월동은아아파트
경상남도,창원시,의창구,봉곡동코오롱아파트
경상남도,창원시,의창구,도계광장
경상남도,창원시,의창구,보훈회관앞
경상남도,창원시,의창구,도계중사거리
경상남도,창원시,의창구,목련삼거리
경상남도,창원시,의창구,명서사거리
경상남도,창원시,의창구,명곡교량
경상남도,창원시,의창구,터미널삼거리(표준공장삼거리)
경상남도,창원시,의창구,운암서원삼거리(팔용동가스공사)
경상남도,창원시,의창구,어울림운동장
경상남도,창원시,의창구,명곡동상북사거리
경상남도,창원시,의창구,창원노동복지회관앞
경상남도,창원시,의창구,명곡광장
경상남도,창원시,의창구,농업기술센터사거리(농촌지도소)
경상남도,창원시,의창구,팔용동대동아파트
경상남도,창원시,의창구,신월주공아파트후문
경상남도,창원시,의창구,팔용동극동상가
경상남도,창원시,의창구,대산미곡처리장
경상남도,창원시,의창구,화훼단지삼거리(차룡변전소)
경상남도,창원시,의창구,사화삼거리(sfa삼거리)
경상남도,창원시,의창구,창원여중입구
경상남도,창원시,의창구,동읍덕암온천앞
경상남도,창원시,의창구,경남도민의집앞사거리
경상남도,창원시,의창구,도계동형제그린빌라앞
경상남도,창원시,의창구,농수산물시장3(서진광유주유소)
경상남도,창원시,의창구,팔용동금강기공
경상남도,창원시,의창구,제동삼거리
경상남도,창원시,의창구,동읍무성마을앞
경상남도,창원시,의창구,대산면가술삼거리
경상남도,창원시,의창구,대산면사무소
경상남도,창원시,의창구,대산초등학교
경상남도,창원시,의창구,모산삼거리
경상남도,창원시,의창구,동창원나들목버턴
경상남도,창원시,의창구,모산사거리
경상남도,창원시,의창구,사화동코리아펀치앞
경상남도,창원시,의창구,레포츠공원사거리
경상남도,창원시,의창구,사림로창원대입구
경상남도,창원시,의창구,용호고교입구사거리
경상남도,창원시,의창구,봉림중학교보행자
경상남도,창원시,의창구,명서시장입구삼거리
경상남도,창원시,의창구,차룡동자동차매매전시장앞
경상남도,창원시,의창구,명서중학교사거리
경상남도,창원시,의창구,명도초등학교 앞 사거리
경상남도,창원시,의창구,창원장애인복지회관입구
경상남도,창원시,의창구,상남생활체육관삼거리
경상남도,창원시,의창구,봉림사거리
경상남도,창원시,의창구,사림동사격장입구
경상남도,창원시,의창구,소답동금호온천앞삼거리
경상남도,창원시,의창구,상남사거리
경상남도,창원시,의창구,반송동일동아파트앞
경상남도,창원시,의창구,창원역삼거리
경상남도,창원시,의창구,대산면동양농기계앞
경상남도,창원시,의창구,대산면송등마을앞
경상남도,창원시,의창구,봉림고등학교입구
경상남도,창원시,의창구,사파동성당
경상남도,창원시,의창구,파티마병원앞삼거리
경상남도,창원시,의창구,의안로서상삼거리
경상남도,창원시,의창구,의안로의창사거리
경상남도,창원시,의창구,창원공고앞삼거리
경상남도,창원시,의창구,용호초등학교
경상남도,창원시,의창구,팔용동평산초등학교
경상남도,창원시,의창구,봉곡중학교앞보행자
경상남도,창원시,의창구,봉곡한별유치원앞
경상남도,창원시,의창구,창원중학교
경상남도,창원시,의창구,창원서부경찰서앞사거리
경상남도,창원시,의창구,의안로현대주유소앞
경상남도,창원시,의창구,차룡동차상사거리
경상남도,창원시,의창구,용호동남산교회앞삼거리
경상남도,창원시,의창구,소답동흥한웰가앞사거리
경상남도,창원시,의창구,봉림초등학교앞
경상남도,창원시,의창구,팔용파출소앞
경상남도,창원시,의창구,창원초등학교
경상남도,창원시,의창구,명곡동상북초등학교
경상남도,창원시,의창구,사화동신화철강앞사거리
경상남도,창원시,의창구,당산골북교차로
경상남도,창원시,의창구,중동3사거리
경상남도,창원시,의창구,도계사거리
경상남도,창원시,의창구,남산마을앞
경상남도,창원시,의창구,대산초등학교육교앞
경상남도,창원시,의창구,대산면풍년교
경상남도,창원시,의창구,명곡동상북초등학교삼거리
경상남도,창원시,의창구,도계초등학교
경상남도,창원시,의창구,대원로접속사거리
경상남도,창원시,의창구,대원동주택지단일로
경상남도,창원시,의창구,세코뒤삼거리
경상남도,창원시,의창구,주남평화맨션앞삼거리
경상남도,창원시,의창구,대원교사거리
경상남도,창원시,의창구,북면동전사거리
경상남도,창원시,의창구,창원고등학교
경상남도,창원시,의창구,메트로병원입구사거리
경상남도,창원시,의창구,중동지구39사옆삼거리
경상남도,창원시,의창구,중동지구1사거리
경상남도,창원시,의창구,중동지구2삼거리
경상남도,창원시,의창구,팔용동백제약품앞사거리
경상남도,창원시,의창구,경남학생기숙사
경상남도,창원시,의창구,명곡동두산위브103동앞
경상남도,창원시,의창구,명곡동두산위브107동앞
경상남도,창원시,의창구,사림동중앙역앞삼거리
경상남도,창원시,의창구,대산모산농협출하장앞
경상남도,창원시,의창구,대원동대원초등학교후문앞
경상남도,창원시,의창구,팔용동사무소
경상남도,창원시,의창구,팔용동사화초등학교
경상남도,창원시,의창구,늘푸른전당앞사거리
