"어린이집명",시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
"창원시립 대산푸른숲어린이집",경상남도,창원시 의창구,국공립,65,9,경상남도 창원시 의창구 대산면 주남로 514 엔에이치에프 창원대산1단지아파트 관리동,055-603-0697,,,,,Y,,2019-03-28
"한뫼누리어린이집",경상남도,창원시 의창구,민간,116,14,경상남도 창원시 의창구 대산면 제동길43번길 79-25,055-252-6262,055-251-7612,,,,Y,,2019-03-28
"청아어린이집",경상남도,창원시 의창구,사회복지법인,111,12,경상남도 창원시 의창구 동읍 의창대로900번길 8,055-291-2505,055-291-2506,,,,Y,,2019-03-28
"청음어린이집",경상남도,창원시 의창구,사회복지법인,46,7,경상남도 창원시 의창구 동읍 의창대로900번길 6-1,055-252-9993,055-252-9994,,,,Y,,2019-03-28
"꿈샘어린이집",경상남도,창원시 의창구,민간,49,5,경상남도 창원시 의창구 동읍 자여로 133-11,055-252-0778,055-252-0778,,,,Y,,2019-03-28
"동읍다람어린이집",경상남도,창원시 의창구,민간,49,6,경상남도 창원시 의창구 동읍 의창대로915번길 17-15,055-252-5087,055-252-5087,,,,Y,,2019-03-28
"동읍아이사랑어린이집",경상남도,창원시 의창구,민간,39,4,경상남도 창원시 의창구 동읍 단계로 110,055-291-3622,055-293-0822,,,,Y,,2019-03-28
"동읍자연어린이집",경상남도,창원시 의창구,민간,39,6,경상남도 창원시 의창구 동읍 동읍로503번길 10,055-251-5060,055-299-5957,,,,Y,,2019-03-28
"무궁화어린이집",경상남도,창원시 의창구,민간,39,9,경상남도 창원시 의창구 동읍 용잠로 37-6,055-251-5153,055-251-5159,,,,Y,,2019-03-28
"주공어린이집",경상남도,창원시 의창구,민간,28,3,경상남도 창원시 의창구 동읍 용정길 26 송정주공아파트 주민복지시설 주공어린이집,055-256-7838,055-256-7838,,,,Y,,2019-03-28
"즐거운어린이집",경상남도,창원시 의창구,민간,51,7,경상남도 창원시 의창구 동읍 자여로98번길 9-1,055-251-7550,055-251-7550,,,,Y,,2019-03-28
"참좋은어린이집",경상남도,창원시 의창구,민간,230,17,경상남도 창원시 의창구 동읍 동읍로 207,055-251-1211,050-099-7948,,,,Y,,2019-03-28
"창원해돋이어린이집",경상남도,창원시 의창구,민간,73,12,경상남도 창원시 의창구 용잠로41번길 17-11 창원해돋이어린이집,055-291-2689,055-222-8178,,,,Y,,2019-03-28
"햇살나무어린이집",경상남도,창원시 의창구,민간,60,8,경상남도 창원시 의창구 동읍 동읍로83번길 3,055-253-8090,070-4032-8985,,,,Y,,2019-03-28
"가은어린이집",경상남도,창원시 의창구,가정,19,6,경상남도 창원시 의창구 동읍 신방로 17 101동 104호(대한아파트),070-7760-7981,,,,,Y,,2019-03-28
"동부산솔밭어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 동읍 용정길46번길 24 동부산 훼미리 5차 102호,055-256-2006,055-256-2006,,,,Y,,2019-03-28
"동창원어린이집",경상남도,창원시 의창구,가정,18,6,"경상남도 창원시 의창구 동읍 용정길32번길 14 102동 105호(송정리, 동부산훼미리타운2차아파트)",055-253-7474,055-606-7473,,,,Y,,2019-03-28
"아기천사어린이집",경상남도,창원시 의창구,가정,19,5,경상남도 창원시 의창구 동읍 용잠로35번길 24  신우한빛타운 102호,055-253-2245,055-253-2245,,,,Y,,2019-03-28
"해오름어린이집",경상남도,창원시 의창구,가정,13,4,경상남도 창원시 의창구 동읍 용정길46번길 35 성진까치2차아파트 102동 102호(용정리),055-291-5060,055-291-5060,,,,Y,,2019-03-28
"칠성그린어린이집",경상남도,창원시 의창구,직장,135,19,경상남도 창원시 의창구 동읍 동읍로 212 칠성그린아파트내,055-253-9881,055-253-9883,,,,N,,2019-03-28
"창원시립 명곡어린이집",경상남도,창원시 의창구,국공립,45,9,경상남도 창원시 의창구 태복산로15번길 8 창원시립명곡어린이집,055-277-7274,055-277-7274,,,,Y,,2019-03-28
"사랑의어린이집",경상남도,창원시 의창구,법인·단체,70,9,경상남도 창원시 의창구 명서로77번길 17 명서동,055-288-6272,055-273-8062,,,,Y,,2019-03-28
"고운어린이집",경상남도,창원시 의창구,민간,39,6,경상남도 창원시 의창구 하남천서길5번길 4 (도계동),055-277-9111,055-277-4009,,,,Y,,2019-03-28
"다솔어린이집",경상남도,창원시 의창구,민간,70,11,경상남도 창원시 의창구 도계두리길6번길 23 (도계동),055-288-3330,055-288-3321,,,,Y,,2019-03-28
"명서어린이집",경상남도,창원시 의창구,민간,28,8,경상남도 창원시 의창구 우곡로101번길 28 명서2민원센터내 (명서동),055-265-2112,055-238-6847,,,,Y,,2019-03-28
"무지개어린이집",경상남도,창원시 의창구,민간,35,8,경상남도 창원시 의창구 하남천서길21번길 9 (도계동),055-288-8669,055-288-8669,,,,Y,,2019-03-28
"브레인영재어린이집",경상남도,창원시 의창구,민간,82,14,경상남도 창원시 의창구 하남천서길 27 1층 브레인영재어린이집,055-238-3467,055-238-3467,,,,Y,,2019-03-28
"새순어린이집",경상남도,창원시 의창구,민간,128,15,경상남도 창원시 의창구 도계로 116 새순교회 1층 (도계동),055-277-1004,055-277-7884,,,,Y,,2019-03-28
"색종이어린이집",경상남도,창원시 의창구,민간,34,6,경상남도 창원시 의창구 도계로50번길 15-19 (도계동),055-277-6756,055-276-7882,,,,Y,,2019-03-28
"서광엔젤스어린이집",경상남도,창원시 의창구,민간,23,5,경상남도 창원시 의창구 태복산로3번길 41 서광데파트 201호 (도계동),055-277-7397,055-277-7397,,,,Y,,2019-03-28
"아이사랑어린이집",경상남도,창원시 의창구,민간,39,12,경상남도 창원시 의창구 도계로95번길 13,055-277-0801,055-277-0801,,,,Y,,2019-03-28
"양지어린이집",경상남도,창원시 의창구,민간,86,11,경상남도 창원시 의창구 도계로60번길 5-18,055-276-4114,055-276-4114,,,,Y,,2019-03-28
"예림어린이집",경상남도,창원시 의창구,민간,43,5,"경상남도 창원시 의창구 도계로 135 관리동1층(명서동,두산위브아파트)",055-238-2688,,,,,Y,,2019-03-28
"온누리어린이집",경상남도,창원시 의창구,민간,42,7,경상남도 창원시 의창구 태복산로23번길 24-1 1층 (도계동),055-288-7496,055-288-7496,,,,Y,,2019-03-28
"키즈숲어린이집",경상남도,창원시 의창구,민간,34,6,경상남도 창원시 의창구 원이대로69번길 6-5 1층 꽃나라어린이집 (도계동),055-276-5224,055-276-5224,,,,Y,,2019-03-28
"푸른솔큰어린이집",경상남도,창원시 의창구,민간,64,10,경상남도 창원시 의창구 도계로60번길 9-8,055-277-9417,055-276-4626,,,,Y,,2019-03-28
"하나어린이집",경상남도,창원시 의창구,민간,44,6,"경상남도 창원시 의창구 태복산로13번길 33 101동 102호(도계동, 국도하이츠빌라)",055-277-9060,055-277-9060,,,,Y,,2019-03-28
"하버드영재어린이집",경상남도,창원시 의창구,민간,44,9,"경상남도 창원시 의창구 태복산로7번길 36 102호, 103호 (도계동, 형제골든빌라)",055-273-2029,055-276-2029,,,,Y,,2019-03-28
"해피아이어린이집",경상남도,창원시 의창구,민간,39,11,경상남도 창원시 의창구 하남천서길15번길 16 (도계동),055-288-8136,055-277-7440,,,,Y,,2019-03-28
"행복한아이어린이집",경상남도,창원시 의창구,민간,31,4,경상남도 창원시 의창구 원이대로69번길 6-11 (도계동),055-276-2525,055-276-8585,,,,Y,,2019-03-28
"호산나어린이집",경상남도,창원시 의창구,민간,45,6,경상남도 창원시 의창구 원이대로82번길 1 휴먼시아아파트 복지동 호산나 어린이집,055-238-0158,055-237-0185,,,,Y,,2019-03-28
"꽃새미어린이집",경상남도,창원시 의창구,가정,15,3,경상남도 창원시 의창구 하남천동길 42 (도계동) 1층,055-277-0691,055-277-0691,,,,N,,2019-03-28
"나무향기어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 명서로123번길 8 (명서동),055-237-5838,055-237-5838,,,,Y,,2019-03-28
"도계에덴어린이집",경상남도,창원시 의창구,가정,12,5,경상남도 창원시 의창구 하남천서길37번길 6-6,055-277-5138,055-277-5138,,,,N,,2019-03-28
"땡큐맘어린이집",경상남도,창원시 의창구,가정,14,2,경상남도 창원시 의창구 우곡로3번길 6-27,055-277-5113,055-265-5225,,,,Y,,2019-03-28
"샘물어린이집",경상남도,창원시 의창구,가정,20,2,경상남도 창원시 의창구 명서로 72 (명서동),055-288-8511,055-288-8511,,,,Y,,2019-03-28
"성신어린이집",경상남도,창원시 의창구,가정,12,4,경상남도 창원시 의창구 지귀로 37 (명서동),055-265-3693,,,,,N,,2019-03-28
"소망어린이집",경상남도,창원시 의창구,가정,20,4,경상남도 창원시 의창구 명지로93번길 6-1,055-265-4349,055-265-4349,,,,Y,,2019-03-28
"숲속아이어린이집",경상남도,창원시 의창구,가정,20,4,경상남도 창원시 의창구 하남천서길 45 (도계동320-10번지 1층),055-238-9452,055-238-9452,,,,Y,,2019-03-28
"숲속으로어린이집",경상남도,창원시 의창구,가정,20,3,경상남도 창원시 의창구 명지로63번길 15 (명서동),055-237-3580,055-273-3580,,,,Y,,2019-03-28
"신나는어린이집",경상남도,창원시 의창구,가정,20,4,경상남도 창원시 의창구 우곡로85번길 13-1,055-238-3026,,,,,Y,,2019-03-28
"아이랑어린이집",경상남도,창원시 의창구,가정,16,3,경상남도 창원시 의창구 명서로89번길 13 (명서동),055-237-5985,055-266-7870,,,,Y,,2019-03-28
"아이맘어린이집",경상남도,창원시 의창구,가정,20,4,경상남도 창원시 의창구 우곡로3번길 65-1,055-276-2112,055-265-5225,,,,Y,,2019-03-28
"청목어린이집",경상남도,창원시 의창구,가정,19,5,경상남도 창원시 의창구 명서로 105-1,055-277-5879,055-277-5879,,,,Y,,2019-03-28
"초롱어린이집",경상남도,창원시 의창구,가정,19,4,경상남도 창원시 의창구 명서로123번길 16 (명서동),055-265-7525,055-287-7676,,,,Y,,2019-03-28
"친구들어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 하남천서길 3 목화맨션 103호 (도계동),055-265-3377,055-265-3376,,,,Y,,2019-03-28
"해돋이어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 명지로103번길 30 (명서동),055-273-2680,055-273-2680,,,,Y,,2019-03-28
"효원어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 명서로4번길 5-9,055-277-1185,055-277-1185,,,,Y,,2019-03-28
"파티마어린이집",경상남도,창원시 의창구,직장,60,10,경상남도 창원시 의창구 창이대로 45,055-276-2207,055-276-2208,,,,N,,2019-03-28
"창원시립 봉곡어린이집",경상남도,창원시 의창구,국공립,110,12,경상남도 창원시 의창구 창이대로 195,055-288-6746,055-288-6707,,,,Y,,2019-03-28
"창원시립 사림어린이집",경상남도,창원시 의창구,국공립,94,12,경상남도 창원시 의창구 창이대로397번길 17,055-282-9010,055-286-9010,,,,Y,,2019-03-28
"성아어린이집",경상남도,창원시 의창구,사회복지법인,135,21,경상남도 창원시 의창구 창이대로309번길 54 (봉곡동),055-237-8711,055-237-8716,,,,Y,,2019-03-28
"새창원교회부설어린이집",경상남도,창원시 의창구,법인·단체,89,16,경상남도 창원시 의창구 사림로149번길 42 (사림동),055-286-5153,055-286-9300,,,,Y,,2019-03-28
"송화어린이집",경상남도,창원시 의창구,민간,22,3,경상남도 창원시 의창구 사림로 32 (사림동),055-262-1464,,,,,Y,,2019-03-28
"예원어린이집",경상남도,창원시 의창구,민간,49,6,"경상남도 창원시 의창구 대봉로 25 (봉림동, 휴먼시아2단지) 복지동",055-277-4610,055-265-4610,,,,Y,,2019-03-28
"피닉스자연숲어린이집",경상남도,창원시 의창구,민간,49,11,경상남도 창원시 의창구 대봉로 27 엘에이치피닉스포레주민복지관3단지,055-265-3939,055-265-3939,,,,Y,,2019-03-28
