대한민국 경상남도 창원시 성산구 상남동 마디미로73번길 25,"['35.2197116', '128.6831732']",521
대한민국 경상남도 창원시 성산구 외동반림로,"['35.2262962', '128.6731132']",438
대한민국 반림동,"['35.237888', '128.668181']",202
대한민국 경상남도 창원시 성산구 상남동,"['35.2201537', '128.6858713']",637
대한민국 경상남도 창원시 성산구 토월로,"['35.2160823', '128.6832555']",179
대한민국 경상남도 창원시 성산구 상남동 동산로 115,"['35.2187846', '128.6866875']",1765
대한민국 경상남도 창원시 성산구 반지동 27,"['35.2441183', '128.6672994']",214
대한민국 경상남도 창원시 성산구 중앙동 96-4,"['35.2228755', '128.6782886']",52
대한민국 경상남도 창원시 성산구 중앙대로 중앙대 로 56 상남동 양지 빌딩 3 층,"['35.219996', '128.677527']",1637
대한민국 성산구 상남동 5-1번지 1층 창원시 경상남도 KR,"['35.2241957', '128.6845202']",1170
대한민국 경상남도 창원시 성산구 상남동 원이대로 692,"['35.2223201', '128.6879544']",101
대한민국 경상남도 창원시 성산구 상남동 1-6,"['35.2240699', '128.6854268']",312
대한민국 경상남도 창원시 성산구 중앙동 93-1,"['35.2247641', '128.6798995']",254
대한민국 성산구 상남동 6-1번지 1층 창원시 경상남도 KR,"['35.22444850000001', '128.6839686']",542
대한민국 경상남도 창원시 성산구 남산동 601-1,"['35.2041279', '128.6930655']",766
대한민국 경상남도 창원시 성산구 상남동,"['35.2204313', '128.6795663']",34
대한민국 경상남도 창원시 성산구 남양동 17,"['35.2144324', '128.7024532']",15
대한민국 경상남도 창원시 성산구 마디미로10번길 7 경원프라자,"['35.2235674', '128.6846286']",88
대한민국 경상남도 창원시 성산구 남양동 16,"['35.2135436', '128.6979814']",92
대한민국 경상남도 창원시 성산구 중앙동 디지털프라자 94-1번지 KR 4층,"['35.2252621', '128.6790382']",35
대한민국 경상남도 창원시 성산구 반림동 충혼로 188,"['35.2406156', '128.6669463']",145
대한민국 경상남도 창원시 성산구 상남동 36-1번지 한사랑빌딩 7층,"['35.2195636', '128.6836728']",29
대한민국 경상남도 창원시 성산구 가음동 12-1,"['35.2100716', '128.689899']",67
대한민국 경상남도 창원시 성산구 상남동 45-1,"['35.2194039', '128.6916486']",172
